title,price,location,year,mileage,engine,link,posted_date,featured,scraped_at,price_numeric,year_numeric,mileage_numeric
Toyota Aqua  2015 S for Sale,PKR 38.85lacs,2015,2015,"105,000 km",1500 cc,https://www.pakwheels.com/used-cars/toyota-aqua-2015-for-sale-in-karachi-10816739,N/A,Yes,2025-11-21 17:03:05,,2015,105000
Toyota Corolla  2011 GLi 1.3 VVTi for Sale7.6/10,PKR 28lacs,2011,2011,"179,360 km",1300 cc,https://www.pakwheels.com/used-cars/toyota-corolla-2011-for-sale-in-karachi-10815988,N/A,Yes,2025-11-21 17:03:05,,2011,179360
Suzuki Mehran  2017 VXR Euro II for Sale,PKR 12.2lacs,2017,2017,"90,000 km",796 cc,https://www.pakwheels.com/used-cars/suzuki-mehran-2017-for-sale-in-karachi-10853474,N/A,No,2025-11-21 17:03:05,,2017,90000
Suzuki Cultus  2007 VXR for Sale,PKR 7.75lacs,2007,2007,"75,000 km",1000 cc,https://www.pakwheels.com/used-cars/suzuki-cultus-2007-for-sale-in-karachi-10853462,N/A,No,2025-11-21 17:03:05,,2007,75000
Toyota Corolla  2018 GLi 1.3 VVTi for Sale,PKR 37.5lacs,2018,2018,"136,000 km",1300 cc,https://www.pakwheels.com/used-cars/toyota-corolla-2018-for-sale-in-karachi-10794090,N/A,No,2025-11-21 17:03:05,,2018,136000
Suzuki Alto  2009 VXR for Sale,PKR 11lacs,2009,2009,"98,000 km",1000 cc,https://www.pakwheels.com/used-cars/suzuki-alto-2009-for-sale-in-karachi-10670450,N/A,No,2025-11-21 17:03:05,,2009,98000
Daihatsu Mira  2015 ES for Sale,PKR 25lacs,2015,2015,"88,200 km",660 cc,https://www.pakwheels.com/used-cars/daihatsu-mira-2015-for-sale-in-karachi-10853456,N/A,No,2025-11-21 17:03:05,,2015,88200
Toyota Corolla  2015 GLi 1.3 VVTi for Sale,PKR 33.5lacs,2015,2015,"200,000 km",1300 cc,https://www.pakwheels.com/used-cars/toyota-corolla-2015-for-sale-in-karachi-10853453,N/A,No,2025-11-21 17:03:05,,2015,200000
Suzuki Alto  2022 VXL AGS for Sale,PKR 28.5lacs,2022,2022,"28,000 km",660 cc,https://www.pakwheels.com/used-cars/suzuki-alto-2022-for-sale-in-karachi-10853450,N/A,No,2025-11-21 17:03:05,,2022,28000
Honda City 5th (GM2) Generation 2013 1.3 i-VTEC for Sale,PKR 26.5lacs,2013,2013,"175,000 km",1300 cc,https://www.pakwheels.com/used-cars/honda-city-2013-for-sale-in-karachi-10835568,N/A,No,2025-11-21 17:03:05,,2013,175000
Honda City  2004 i-DSI for Sale,PKR 13.1lacs,2004,2004,"250,000 km",1300 cc,https://www.pakwheels.com/used-cars/honda-city-2004-for-sale-in-karachi-10853423,N/A,No,2025-11-21 17:03:05,,2004,250000
Suzuki Khyber  1997 GA for Sale,PKR 3.7lacs,1997,1997,"90,000 km",1000 cc,https://www.pakwheels.com/used-cars/suzuki-khyber-1997-for-sale-in-karachi-10853417,N/A,No,2025-11-21 17:03:05,,1997,90000
Toyota Corolla  2022 Altis X Automatic 1.6 for Sale,PKR 55lacs,2022,2022,"57,000 km",1598 cc,https://www.pakwheels.com/used-cars/toyota-corolla-2022-for-sale-in-karachi-10853375,N/A,No,2025-11-21 17:03:05,,2022,57000
Toyota Raize  2021 Z for Sale,PKR 63lacs,2021,2021,"40,000 km",1000 cc,https://www.pakwheels.com/used-cars/toyota-raize-2021-for-sale-in-karachi-10764195,N/A,Yes,2025-11-21 17:03:05,,2021,40000
Toyota Hilux  2020 Revo V Automatic 2.8 for Sale,PKR 1.05crore,2020,2020,"51,000 km",2800 cc,https://www.pakwheels.com/used-cars/toyota-hilux-2020-for-sale-in-karachi-9997883,N/A,Yes,2025-11-21 17:03:05,,2020,51000
Toyota Raize  2021 Z for Sale,PKR 66lacs,2021,2021,"28,261 km",1000 cc,https://www.pakwheels.com/used-cars/toyota-raize-2021-for-sale-in-karachi-10679279,N/A,Yes,2025-11-21 17:03:19,,2021,28261
Nissan Dayz  2022 Highway Star S hybrid X pro pilot for Sale7.8/10,PKR 37lacs,2022,2022,"89,507 km",660 cc,https://www.pakwheels.com/used-cars/nissan-dayz-2022-for-sale-in-karachi-10634080,N/A,Yes,2025-11-21 17:03:19,,2022,89507
Suzuki Alto  2019 VXR for Sale,PKR 23.5lacs,2019,2019,"47,000 km",660 cc,https://www.pakwheels.com/used-cars/suzuki-alto-2019-for-sale-in-karachi-10853353,N/A,Yes,2025-11-21 17:03:19,,2019,47000
Suzuki Swift  2015 DLX Automatic 1.3 for Sale,PKR 23.5lacs,2015,2015,"55,000 km",1300 cc,https://www.pakwheels.com/used-cars/suzuki-swift-2015-for-sale-in-karachi-10853334,N/A,Yes,2025-11-21 17:03:19,,2015,55000
Toyota Yaris Hatchback  2024 G 1.0 for Sale,PKR 42.5lacs,2024,2024,"76,000 km",1000 cc,https://www.pakwheels.com/used-cars/toyota-yaris-hatchback-2024-for-sale-in-karachi-10843739,N/A,Yes,2025-11-21 17:03:19,,2024,76000
Suzuki Cultus  2019 VXR for Sale,PKR 25.25lacs,2019,2019,"70,000 km",1000 cc,https://www.pakwheels.com/used-cars/suzuki-cultus-2019-for-sale-in-karachi-10548762,N/A,Yes,2025-11-21 17:03:19,,2019,70000
Toyota Corolla  2015 XLi VVTi for Sale,PKR 31lacs,2015,2015,"66,000 km",1300 cc,https://www.pakwheels.com/used-cars/toyota-corolla-2015-for-sale-in-karachi-10823757,N/A,Yes,2025-11-21 17:03:19,,2015,66000
Mazda Carol  2022 GX for Sale,PKR 36.25lacs,2022,2022,"27,842 km",660 cc,https://www.pakwheels.com/used-cars/mazda-carol-2022-for-sale-in-karachi-10853354,N/A,Yes,2025-11-21 17:03:19,,2022,27842
Suzuki Alto  2021 VXR for Sale,PKR 23lacs,2021,2021,"61,000 km",660 cc,https://www.pakwheels.com/used-cars/suzuki-alto-2021-for-sale-in-karachi-10823876,N/A,Yes,2025-11-21 17:03:19,,2021,61000
Suzuki Bolan  1980  for Sale,PKR 3.3lacs,1980,1980,"5,000 km",800 cc,https://www.pakwheels.com/used-cars/suzuki-bolan-1980-for-sale-in-karachi-10853352,N/A,No,2025-11-21 17:03:19,,1980,5000
Suzuki Wagon R  2014 VXL for Sale,Call,2014,2014,"155,000 km",1000 cc,https://www.pakwheels.com/used-cars/suzuki-wagon-r-2014-for-sale-in-karachi-10853084,N/A,No,2025-11-21 17:03:19,,2014,155000
Daihatsu Cuore  2009 CX for Sale,PKR 8.7lacs,2009,2009,"98,000 km",800 cc,https://www.pakwheels.com/used-cars/daihatsu-cuore-2009-for-sale-in-karachi-10853359,N/A,No,2025-11-21 17:03:19,,2009,98000
Honda Civic  2017 1.8 i-VTEC CVT for Sale,PKR 48.8lacs,2017,2017,"52,000 km",1800 cc,https://www.pakwheels.com/used-cars/honda-civic-2017-for-sale-in-karachi-10853357,N/A,No,2025-11-21 17:03:19,,2017,52000
Honda Civic Reborn 2008 MX (Hybrid) for Sale,PKR 26.5lacs,2008,2008,"125,000 km",1300 cc,https://www.pakwheels.com/used-cars/honda-civic-2008-for-sale-in-karachi-10853355,N/A,No,2025-11-21 17:03:19,,2008,125000
Toyota Vitz  2009 F 1.0 for Sale,PKR 25lacs,2009,2009,"114,000 km",1000 cc,https://www.pakwheels.com/used-cars/toyota-vitz-2009-for-sale-in-karachi-9327598,N/A,No,2025-11-21 17:03:19,,2009,114000
Toyota Aqua  2014 S for Sale,PKR 31.95lacs,2014,2014,"100,000 km",1500 cc,https://www.pakwheels.com/used-cars/toyota-aqua-2014-for-sale-in-karachi-10845302,N/A,Yes,2025-11-21 17:03:19,,2014,100000
Nissan Dayz  2016 J for Sale,PKR 22.95lacs,2016,2016,"80,000 km",660 cc,https://www.pakwheels.com/used-cars/nissan-dayz-2016-for-sale-in-karachi-10706174,N/A,Yes,2025-11-21 17:03:19,,2016,80000
Toyota Corolla  2012 Altis SR Cruisetronic 1.6 for Sale,PKR 37lacs,2012,2012,"79,000 km",1600 cc,https://www.pakwheels.com/used-cars/toyota-corolla-2012-for-sale-in-karachi-10853324,N/A,No,2025-11-21 17:03:19,,2012,79000
Suzuki Alto  2001 VX for Sale,PKR 5.5lacs,2001,2001,"50,000 km",1000 cc,https://www.pakwheels.com/used-cars/suzuki-alto-2001-for-sale-in-karachi-10853323,N/A,No,2025-11-21 17:03:19,,2001,50000
Honda Civic  2002 VTi Oriel 1.6 for Sale,PKR 11.1lacs,2002,2002,"210,000 km",1600 cc,https://www.pakwheels.com/used-cars/honda-civic-2002-for-sale-in-karachi-10853322,N/A,No,2025-11-21 17:03:19,,2002,210000
Suzuki Alto  2009  for Sale,PKR 10.19lacs,2009,2009,"190,000 km",1000 cc,https://www.pakwheels.com/used-cars/suzuki-alto-2009-for-sale-in-karachi-10853321,N/A,No,2025-11-21 17:03:19,,2009,190000
KIA Stonic  2022 EX+ for Sale9.4/10,PKR 50.5lacs,2022,2022,"29,339 km",1400 cc,https://www.pakwheels.com/used-cars/kia-stonic-2022-for-sale-in-karachi-10832772,N/A,Yes,2025-11-21 17:03:19,,2022,29339
Daihatsu Mira  2014 X Memorial Edition for Sale,PKR 24.9lacs,2014,2014,"125,000 km",660 cc,https://www.pakwheels.com/used-cars/daihatsu-mira-2014-for-sale-in-karachi-10853301,N/A,No,2025-11-21 17:03:19,,2014,125000
Suzuki Alto  2010 VXR for Sale,PKR 10.25lacs,2010,2010,"90,000 km",1000 cc,https://www.pakwheels.com/used-cars/suzuki-alto-2010-for-sale-in-karachi-10853313,N/A,No,2025-11-21 17:03:19,,2010,90000
Toyota Hilux  2022 Revo Rocco for Sale,PKR 1.36crore,2022,2022,"24,000 km",2800 cc,https://www.pakwheels.com/used-cars/toyota-hilux-2022-for-sale-in-karachi-10853309,N/A,Yes,2025-11-21 17:03:34,,2022,24000
Suzuki Alto  2022 Hybrid X for Sale,PKR 36.25lacs,2022,2022,"27,842 km",660 cc,https://www.pakwheels.com/used-cars/suzuki-alto-2022-for-sale-in-karachi-10830309,N/A,Yes,2025-11-21 17:03:34,,2022,27842
Honda BR-V  2020 i-VTEC S for Sale7.5/10,PKR 46.5lacs,2020,2020,"26,941 km",1500 cc,https://www.pakwheels.com/used-cars/honda-br-v-2020-for-sale-in-karachi-10692579,N/A,Yes,2025-11-21 17:03:34,,2020,26941
KIA Sorento  2022 2.4 AWD for Sale,PKR 82.5lacs,2022,2022,"29,222 km",2400 cc,https://www.pakwheels.com/used-cars/kia-sorento-2022-for-sale-in-karachi-10851361,N/A,Yes,2025-11-21 17:03:34,,2022,29222
Honda Civic  2022 1.5 VTEC Turbo Oriel for Sale9.9/10,PKR 75.9lacs,2022,2022,"16,383 km",1500 cc,https://www.pakwheels.com/used-cars/honda-civic-2022-for-sale-in-karachi-10664404,N/A,Yes,2025-11-21 17:03:34,,2022,16383
Toyota Raize  2020 Z for Sale10/10,PKR 63lacs,2020,2020,"30,102 km",1000 cc,https://www.pakwheels.com/used-cars/toyota-raize-2020-for-sale-in-karachi-10792584,N/A,Yes,2025-11-21 17:03:34,,2020,30102
Toyota Hilux  2017 Revo V Automatic 3.0  for Sale,PKR 88lacs,2017,2017,"82,000 km",3000 cc,https://www.pakwheels.com/used-cars/toyota-hilux-2017-for-sale-in-karachi-10853226,N/A,Yes,2025-11-21 17:03:34,,2017,82000
Honda BR-V  2019 i-VTEC MT for Sale8.2/10,PKR 40.05lacs,2019,2019,"72,876 km",1500 cc,https://www.pakwheels.com/used-cars/honda-br-v-2019-for-sale-in-karachi-10813399,N/A,Yes,2025-11-21 17:03:34,,2019,72876
Suzuki Hustler  2023 Hybrid G for Sale9.8/10,PKR 43.75lacs,2023,2023,"2,433 km",660 cc,https://www.pakwheels.com/used-cars/suzuki-hustler-2023-for-sale-in-karachi-10832617,N/A,Yes,2025-11-21 17:03:34,,2023,2433
Toyota Vitz  2008 F 1.0 for Sale,PKR 21.35lacs,2008,2008,"102,500 km",1000 cc,https://www.pakwheels.com/used-cars/toyota-vitz-2008-for-sale-in-karachi-10853315,N/A,No,2025-11-21 17:03:34,,2008,102500
Suzuki Wagon R  2014 FX for Sale,PKR 21.5lacs,2014,2014,"96,000 km",660 cc,https://www.pakwheels.com/used-cars/suzuki-wagon-r-2014-for-sale-in-karachi-10853002,N/A,No,2025-11-21 17:03:34,,2014,96000
Suzuki Mehran  2017 VX Euro II for Sale,PKR 13lacs,2017,2017,"31,865 km",796 cc,https://www.pakwheels.com/used-cars/suzuki-mehran-2017-for-sale-in-karachi-10853296,N/A,No,2025-11-21 17:03:34,,2017,31865
Suzuki Alto  2005 E for Sale,PKR 1.08lacs,2005,2005,"60,000 km",660 cc,https://www.pakwheels.com/used-cars/suzuki-alto-2005-for-sale-in-karachi-10853286,N/A,No,2025-11-21 17:03:34,,2005,60000
